T,TM,Tm,H,VV,V,VM,PM 2.5
30.8,36.0,26.0,57.0,3.7,7.8,14.8,146.0
30.4,35.0,25.0,54.0,3.9,10.7,20.6,0.0
30.0,36.0,24.0,50.0,4.0,9.4,18.3,158.0
30.2,36.0,25.0,50.0,4.2,10.2,22.2,132.0
30.8,36.0,25.0,48.0,4.3,12.0,18.3,0.0
31.2,37.0,25.0,47.0,3.7,8.0,18.3,126.0
30.8,35.0,26.0,49.0,4.2,7.0,14.8,155.0
30.6,38.0,25.0,49.0,3.4,7.0,14.8,0.0
30.7,36.0,25.0,55.0,3.1,8.7,13.0,187.0
28.4,34.0,23.0,53.0,3.7,9.3,14.8,194.0
28.1,35.0,22.0,48.0,4.0,10.4,18.3,276.0
27.9,32.0,21.0,55.0,3.9,13.3,18.3,161.0
24.6,28.0,21.0,68.0,4.3,10.6,22.2,93.0
24.4,30.0,19.0,67.0,3.4,6.1,16.5,161.0
23.6,31.0,17.0,52.0,2.1,6.1,16.5,278.0
24.6,32.0,17.0,52.0,1.9,6.1,16.5,254.0
26.8,34.0,19.0,46.0,2.3,6.5,13.0,262.0
26.2,32.0,21.0,57.0,1.6,4.3,9.4,0.0
25.6,32.0,20.0,58.0,2.4,5.4,14.8,0.0
25.7,32.0,20.0,53.0,2.1,3.3,9.4,314.0
24.1,30.0,18.0,49.0,1.1,6.3,13.0,306.0
21.8,28.0,16.0,53.0,1.6,8.9,16.5,419.0
23.4,31.0,15.0,43.0,1.9,6.9,18.3,331.0
24.4,30.0,17.0,48.0,1.8,8.3,16.5,270.0
27.9,31.0,20.0,46.0,1.6,6.9,11.1,308.0
26.3,32.0,20.0,48.0,1.8,8.0,18.3,282.0
24.6,31.0,18.0,53.0,1.4,9.1,14.8,345.0
17.9,27.0,12.0,50.0,1.4,6.9,18.3,336.0
18.4,27.0,10.0,42.0,2.1,8.3,20.6,261.0
20.0,27.0,11.0,35.0,2.4,10.6,18.3,244.0
18.1,28.0,11.0,48.0,1.4,3.7,9.4,367.0
18.2,27.0,10.0,48.0,1.3,4.3,14.8,283.0
17.3,26.0,11.0,52.0,1.3,3.1,13.0,318.0
17.5,26.0,11.0,41.0,2.4,8.0,16.5,225.0
17.9,27.0,10.0,44.0,2.1,7.4,22.2,241.0
21.6,28.0,11.0,37.0,2.1,5.6,9.4,310.0
19.3,29.0,12.0,41.0,2.9,11.3,22.2,179.0
19.4,27.0,12.0,45.0,2.7,10.6,22.2,189.0
18.6,27.0,12.0,53.0,2.4,9.8,20.6,223.0
17.5,27.0,10.0,44.0,2.7,6.5,18.3,198.0
17.0,26.0,10.0,47.0,2.3,4.3,14.8,209.0
17.3,27.0,10.0,53.0,1.6,3.5,9.4,320.0
16.0,20.0,13.0,72.0,1.6,16.5,25.9,293.0
13.9,15.0,12.0,95.0,1.8,10.9,18.3,143.0
13.8,18.0,10.0,84.0,1.9,7.8,14.8,151.0
10.3,14.0,8.0,97.0,0.5,3.9,14.8,413.0
10.2,16.0,7.0,89.0,1.3,10.9,16.5,245.0
9.4,16.0,6.0,90.0,0.6,4.1,11.1,332.0
8.1,13.0,6.0,92.0,0.6,10.0,14.8,272.0
9.6,16.0,6.0,95.0,0.8,9.1,18.3,261.0
9.9,18.0,4.0,79.0,0.8,3.3,13.0,321.0
14.7,21.0,10.0,76.0,0.6,3.0,11.1,432.0
14.4,15.0,13.0,91.0,1.4,6.1,16.5,227.0
14.0,17.0,11.0,91.0,0.6,4.8,13.0,177.0
9.1,12.0,6.0,91.0,0.5,6.7,13.0,297.0
8.4,10.0,7.0,95.0,0.5,5.7,11.1,254.0
9.7,15.0,7.0,89.0,0.8,5.9,11.1,328.0
11.7,17.0,6.0,83.0,0.8,10.9,18.3,308.0
11.3,15.0,6.0,89.0,0.8,9.4,20.6,263.0
10.7,18.0,5.0,84.0,0.5,4.3,11.1,266.0
12.9,19.0,9.0,81.0,0.8,7.6,13.0,268.0
